Action	UP	DOWN	LEFT	RIGHT
fled	8	10	6	0
pointed at	6	11	0	7
pulled	0	24	0	0
pushed	0	24	0	0
walked	2	12	0	10
hunted	0	23	0	1
impacted	0	24	0	0
perched	24	0	0	0
showed	17	4	0	3
smashed	0	24	0	0
bombed	0	24	0	0
flew	24	0	0	0
floated	24	0	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	4	20	0	0
gave to	6	11	0	7
offended	0	24	0	0
rushed	2	22	0	0
warned	4	20	0	0
owned	9	9	0	6
regretted	0	24	0	0
rested	0	24	0	0
tempted	0	20	0	4
wanted	13	2	0	9
hoped	24	0	0	0
increased	24	0	0	0
obeyed	0	19	0	5
respected	23	0	0	1
succeeded	24	0	0	0
