Stimulus,SUPPORT,PRESSURE,CONSTRAINT,COVERING,VISIBILITY,SUPPORT_Completion_Text,PRESSURE_Completion_Text,CONSTRAINT_Completion_Text,COVERING_Completion_Text,VISIBILITY_Completion_Text
The family depends on the father,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
There is a physician on call,4,4,4,4,4,"4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
All books are on sale,4,4,4,4,4,4 because I think that the concept SUPPORT is appropriate,"4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
The band is on tour,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
The boat is on course,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
The bus is on schedule,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
Jeff is on time,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
The concept CONSTRAINT is not very appropriate in","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
Sam is on his way home,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of ""","4.
In the case of the use of """
She puts the blame on my actions,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
He pulled a gun on me,4,4,4,4,4,"4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
Pat has been on sick leave,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
There is a parade on Sunday,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
The program will be broadcast on CBS,4,4,4,4,4,"4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
Joan works on the committee,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of ""","4.
In the case of the use of """
Linda is very knowledgeable on this subject,4,4,4,4,4,"4.
In the case of the use of ""","4.
The concept PRESSURE is not very appropriate","4.
On a scale from 1 (not","4.
In the case of the use of ""","4.
In the case of the use of """
The factory workers are on strike for a second day,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
These cold nights are very hard on the homeless,4,4,4,4,4,"4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
They ordered a court martial to be held on him,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
The concept CONSTRAINT is not very appropriate in","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
Pam is on a diet,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
The dog is on the leash,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
The concept CONSTRAINT is not appropriate for the","4.
In the case of the use of ""","4.
In the case of the use of """
She is on the pill,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
The ship is on the anchor,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
The concept CONSTRAINT is not very appropriate in","4.
On a scale from 1 (not","4.
The concept VISIBILITY is not appropriate for"
The lunch is on George,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
He lives on a pension,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
The boss is on my neck,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
There are fifty nurses on the hospital staff,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
There is ten cent interest on the dollar,4,4,4,4,4,"4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
The vase is on the table,4,4,4,4,4,"4.
In the case of the use of ""","4.
In the case of the use of ""","4.
The concept CONSTRAINT is appropriate for the phrase","4.
In the case of the use of ""","4.
The concept VISIBILITY is appropriate for the"
The fish is on the surface,4,4,4,4,4,"4.
The concept SUPPORT is not appropriate in this","4.
On a scale from 1 (not","4.
The concept CONSTRAINT is not very appropriate in","4.
On a scale from 1 (not","4.
In the case of the use of """
The fly is on the ceiling,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
She has a beautiful ring on her finger,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
The house rests on the foundation,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
They hung a picture on the wall,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
In the case of the use of """
I have a cut on my finger,4,4,4,4,4,"4.
In the case of the use of ""","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
I have a rash on my back,4,4,4,4,4,"4.
In the case of the use of ""","4.
The concept PRESSURE is appropriate for the","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
The actor is on stage,4,4,4,4,4,"4.
The concept SUPPORT is not appropriate at all","4.
On a scale from 1 (not","4.
The concept CONSTRAINT is not very appropriate in","4.
On a scale from 1 (not","4.
In the case of the use of """
He resides on the continent,4,4,4,4,4,"4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not","4.
On a scale from 1 (not"
