Action	UP	DOWN	LEFT	RIGHT
fled	13	6	5	0
pointed at	20	1	3	0
pulled	17	4	3	0
pushed	13	6	5	0
walked	14	6	4	0
hunted	16	5	3	0
impacted	16	5	3	0
perched	15	5	4	0
showed	17	4	3	0
smashed	15	5	4	0
bombed	16	5	3	0
flew	17	4	3	0
floated	15	4	5	0
lifted	19	3	2	0
sank	16	4	4	0
argued with	12	9	3	0
gave to	17	4	3	0
offended	15	5	4	0
rushed	15	5	4	0
warned	15	5	4	0
owned	16	4	4	0
regretted	14	6	4	0
rested	16	5	3	0
tempted	13	7	4	0
wanted	15	4	5	0
hoped	13	8	3	0
increased	22	2	0	0
obeyed	11	9	4	0
respected	15	6	3	0
succeeded	13	6	5	0
