Action	UP	DOWN	LEFT	RIGHT
fled	1	17	6	0
pointed at	1	8	0	15
pulled	0	24	0	0
pushed	0	21	0	3
walked	0	10	0	14
hunted	0	24	0	0
impacted	0	24	0	0
perched	22	2	0	0
showed	12	3	0	9
smashed	0	24	0	0
bombed	0	24	0	0
flew	24	0	0	0
floated	24	0	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	1	19	1	3
gave to	0	6	0	18
offended	0	24	0	0
rushed	1	22	0	1
warned	1	18	0	5
owned	0	2	0	22
regretted	0	24	0	0
rested	0	24	0	0
tempted	0	24	0	0
wanted	7	0	0	17
hoped	24	0	0	0
increased	24	0	0	0
obeyed	0	6	0	18
respected	22	0	0	2
succeeded	22	0	0	2
