Action	UP	DOWN	LEFT	RIGHT
fled	1	0	23	0
pointed at	9	9	6	0
pulled	1	23	0	0
pushed	2	19	2	1
walked	1	6	12	5
hunted	0	21	3	0
impacted	0	24	0	0
perched	15	9	0	0
showed	12	12	0	0
smashed	0	24	0	0
bombed	0	21	3	0
flew	24	0	0	0
floated	15	9	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	3	16	2	3
gave to	1	4	19	0
offended	0	17	7	0
rushed	1	20	3	0
warned	1	0	21	2
owned	1	15	5	3
regretted	2	11	11	0
rested	0	24	0	0
tempted	2	17	5	0
wanted	4	8	5	7
hoped	6	8	9	1
increased	24	0	0	0
obeyed	2	8	9	5
respected	20	2	2	0
succeeded	19	0	0	5
