Action	UP	DOWN	LEFT	RIGHT
fled	6	4	14	0
pointed at	2	8	0	0
pulled	0	20	4	0
pushed	1	13	2	8
walked	0	15	0	9
hunted	0	24	0	0
impacted	0	24	0	0
perched	24	0	0	0
showed	0	24	0	0
smashed	0	24	0	0
bombed	0	24	0	0
flew	24	0	0	0
floated	5	16	3	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	0	0	0	0
gave to	0	21	0	3
offended	0	24	0	0
rushed	0	24	0	0
warned	3	20	0	0
owned	0	23	0	1
regretted	0	24	0	0
rested	7	17	0	0
tempted	0	0	0	0
wanted	4	18	0	1
hoped	24	0	0	0
increased	22	0	0	2
obeyed	0	24	0	0
respected	24	0	0	0
succeeded	18	0	0	6
