Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE
be at attention,6.999824479523127,4.257897416504017,6.967690548109057,2.5174827369566715,6.137930697941642
be distinguished in several sports,1.0034039863555078,1.1731794985591961,2.6274131782486583,3.146020163214511,1.0336410856390015
to hold firm,6.9196933947855275,6.997580493326959,3.3896633423276006,3.9627455191815586,6.999981126476177
don't allow such treatment,1.001140123694319,1.4253234698935462,2.7797224972642613,2.325923963409826,6.999974955503531
to pass the test of time,1.0740501661864974,2.5551714510068293,3.8209854381411996,6.938963025997993,4.077162471940675
united we are strong,1.2547928077403678,6.98453920486965,6.999992722768264,6.999998738294322,6.9999865454652355
we are backed up by 30 years experience,1.0033975327158913,1.526246152235186,6.09816734854083,6.953587583171418,1.041022548041276
let the issue remain as is,1.000023780127597,1.2942023551258,1.0331545833236606,1.0100046092122432,1.1970438675797344
leave the mixture undisturbed,1.0018613168423762,3.4402508876655418,1.0180829376370866,1.267662110356294,3.943931689856823
have a dale with someone who didn 't show up,1.0000053835803735,1.0000223892049913,1.0003425368491228,1.0543365899825154,1.0000509563194424
he measures six-foot nine,6.9999823497298275,1.0135263973565662,1.0000148139904388,1.0001000408264518,1.0000322270614104
the clock is on the mantle,1.8203316525633884,1.0000494343949247,1.4586954683385605,6.981868591592199,1.0000012603805069
one-night fling,1.0000156916804817,1.0000194794307204,1.0777002419960555,1.7916406021499036,1.0120984732445362
to be in the position to make a profit,1.6559048186374223,2.5361841143604593,6.2943203471331195,3.3556336381479905,1.0428834021371403
to be in someone else's shoes,3.756994783873802,4.832383575711814,6.993197081622384,6.998564334027394,4.912294946343692
on the witness platform,3.701368750502236,1.0020068790084675,6.715737968497388,4.332392108082895,1.007560240947555
be in aw,1.0113469965329258,1.2855975623497047,6.456441584236856,1.0115420502022863,1.1129347407577965
the police told them to get back,1.001349791687467,1.0179904754463016,4.960394245833328,6.62293117058171,6.986991884904748
support your man,2.879390214175108,4.511169400606205,3.9647740808573717,3.104554621805911,2.681694679760298
the engine can't endure the constant wear,1.0000329212439747,1.1154700944041556,1.0202593196496916,3.1722417390639874,5.782188412136791
to be on shaky ground,3.076795059664852,4.162947362284411,2.5657971926839775,4.556964786931463,3.083705933919465
to be accused,1.009272707729125,1.0081098091998308,5.026270647166162,6.680084694905739,2.1250202324535103
the house is in the clearing,1.0000475243302918,1.000212264961197,3.2176585573212195,1.3765506868876138,1.0000037567088933
the barometer is at 30 inches,6.999916131996725,1.0000319544600456,1.0004592565364399,1.0261606733446553,1.0000286181466782
as the matter now exists,1.0000040093490634,1.0036355397073171,1.0830842226632953,1.034432730731074,1.0092824632580506
the part represents the whole,4.637774570675619,4.78124321073953,6.9999641302723035,6.999976388321743,3.325176611589864
it conforms with reason,1.001063408721544,3.9397414428683133,1.8613282327922787,6.924285380144186,1.4135886363594934
they did nothing but hang around,1.0005292941436188,1.0000585528344441,1.923073538507903,1.1385396669337344,1.000058227647483
to face great odds,4.491907200872135,4.176412579648519,6.8936452746585575,4.597797844693408,6.999966826597634
a roaring ovation,1.0004565616714627,1.0052112518655583,6.999973021166863,6.9815920057153775,1.1653192040547742
the boss always hovers over me,6.999710735393925,1.0004969871870877,6.99853527223869,6.999700412388458,2.298335877200334
he remains committed,1.0000337215987423,1.1400770315004511,1.0136161936516812,4.789140553564378,6.097580355504306
