Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE,VERTICALITY_Completion_Text,BALANCE_Completion_Text,CENTER-PERIPHERY_Completion_Text,LINKAGE_Completion_Text,RESISTANCE_Completion_Text
stand at attention,7,7,7,7,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Now","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Now","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Now"
stand out in several sports,7,7,7,7,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Please","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Now"
to stand firm,7,7,7,7,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Now"
don't stand for such treatment,7,7,7,7,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Please","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Please","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Now"
to stand the test of time,7,7,7,7,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Now"
united we stand,7,7,7,7,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Cons","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Now"
we stand on 30 years of experience,7,4,7,7,2,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Please","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 4.

Please","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 2.

Please"
let the issue stand,4,4,4,4,4,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 4.

Now","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 4.

Now","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 4.

Please","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 4.

Please","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 4.

Now"
let the mixture stand,4,7,4,7,4,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 4.

Now","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Now","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 4.

Please","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Now","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 4.

Now"
get stood up for a date,7,4,7,7,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 4.

Please","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

Now"
