Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE,VERTICALITY_Completion_Text,BALANCE_Completion_Text,CENTER-PERIPHERY_Completion_Text,LINKAGE_Completion_Text,RESISTANCE_Completion_Text
stand at attention,6,7,7,6,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

How","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The"
stand out in several sports,6,6,7,6,6,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The"
to stand firm,6,7,7,6,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

Why","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

How","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

Please","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

How"
don't stand for such treatment,5,7,7,6,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.

How","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

How","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

How"
to stand the test of time,6,6,7,6,6,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

Why","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

Why","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

Now"
united we stand,5,7,7,7,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.

Why","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
The phrase","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The"
we stand on 30 years of experience,6,6,7,6,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
The phrase","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.

The"
let the issue stand,5,6,6,6,6,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.

Cons","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.
The phrase","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

Now"
let the mixture stand,5,6,6,5,6,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.

The","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

Now","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.
The phrase","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.

The","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The"
get stood up for a date,5,6,7,5,6,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.

Why","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

The","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
The phrase","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.

How","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 6.

Now"
