Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE,VERTICALITY_Completion_Text,BALANCE_Completion_Text,CENTER-PERIPHERY_Completion_Text,LINKAGE_Completion_Text,RESISTANCE_Completion_Text
stand at attention,7,5,7,5,5,"

7 (very strongly related)","

5. The phrase ""stand at attention"" implies a sense of balance","

7 (very strongly related). The phrase ""stand at attention"" implies","

5","

5"
stand out in several sports,3,3,7,5,3,"

3","

3","

7 (very strongly related). The phrase ""stand out in several sports","

5","

3"
to stand firm,7,7,5,5,7,"

7 (very strongly related)","

7 (very strongly related). To stand firm implies a sense of balance","

5. The phrase ""to stand firm"" is moderately related to the","

5","

7 (very strongly related)"
don't stand for such treatment,1,5,0,5,7,"

1 (not at all related).","

5","

I would rate the phrase ""don't stand for such treatment"" as","

5","

7 (very strongly related)"
to stand the test of time,3,5,0,7,5,"

3","

5","

I would rate the phrase ""to stand the test of time"" as","

7 (very strongly related). The phrase ""to stand the test of","

5"
united we stand,5,7,7,7,7,"

5","

7 (very strongly related). The phrase ""united we stand"" implies","

7 (very strongly related). The phrase ""united we stand"" implies","

7 (very strongly related)","

7 (very strongly related). The phrase ""united we stand"" implies"
we stand on 30 years of experience,3,3,5,7,3,"

3. Moderately related","

3. Moderately related","

5. The phrase ""we stand on 30 years of experience"" is","

7 (very strongly related)","

3. Moderately related"
let the issue stand,1,1,1,3,3,"

1 (not at all related).","

1. Not at all related","

1 - Not at all related","

3","

3"
let the mixture stand,5,3,1,3,3,"

5","

3","

1. Not at all related","

3","

3"
get stood up for a date,1,1,0,7,1,"

1 (not at all related)","

1 (not at all related)","

I would rate the phrase ""get stood up for a date"" as","

7 (very strongly related)","

1. Not at all related"
he stands six-foot nine,7,1,1,1,1,"

7 (very strongly related)","

1 (not at all related).","

1 (not at all related).","

1 (not at all related).","

1 (not at all related)."
the clock stands on the mantle,6,1,3,5,1,"

6","

1 (not at all related).","

3. Moderately related","

5","

1 (not at all related)."
one-night stand,1,1,4,5,1,"

1 (not at all related).","

1 (not at all related).","

I would rate the phrase ""one-night stand"" as a 4","

5","

1 - Not at all related"
to stand to profit,3,1,5,7,1,"

3","

1 (not at all related).","

5","

7 (very strongly related)","

1. Not at all related"
to stand in someone else's shoes,5,7,0,7,7,"

5","

7 (very strongly related). To stand in someone else's shoes is","

I would rate the phrase ""to stand in someone else's shoes""","

7 (very strongly related)","

7 (very strongly related). To stand in someone else's shoes is"
on the witness stand,7,3,7,7,5,"

7 (very strongly related)","

3","

7 (very strongly related). The phrase ""on the witness stand""","

7 (very strongly related)","

5"
stand in awe,7,5,7,5,3,"

7 (very strongly related)","

5","

7 (very strongly related). The phrase ""stand in awe"" implies","

5","

3"
the police told them to stand back,1,1,7,7,6,"

1 (not at all related).","

1 (not at all related).","

7 (very strongly related). The phrase implies that the police are in","

7 (very strongly related)","

6"
stand by your man,5,5,5,7,4,"

5","

5. The phrase ""stand by your man"" implies a sense of","

5. The phrase ""stand by your man"" implies that the man","

7 (very strongly related)","

4"
the engine can't stand the constant wear,1,3,1,3,5,"

1 (not at all related).","

3","

1 - Not at all related","

3","

5"
stand on shaky ground,7,7,5,7,5,"

7 (very strongly related)","

7 (very strongly related)","

5. The phrase ""stand on shaky ground"" implies that the central","

7 (very strongly related)","

5"
to stand accused,3,3,7,7,5,"

3","

3","

7 (very strongly related). To stand accused implies that someone is at","

7 (very strongly related)","

5"
the house stands in the clearing,1,3,4,5,1,"

1. Not at all related","

3. Moderately related","

I would rate this phrase as a 4 on the scale. The phrase","

5","

1 (not at all related)."
the barometer stands at 30 inches,7,1,1,1,1,"

7 (very strongly related)","

1 (not at all related).","

1 (not at all related).","

1. Not at all related","

1 (not at all related)."
as the matter now stands,1,3,3,3,1,"

1 (not at all related).","

3","

3","

3","

1 (not at all related)."
the part stands for the whole,5,5,7,7,5,"

5","

5","

7 (very strongly related). The phrase ""the part stands for the","

7 (very strongly related)","

5"
it stands to reason,3,3,3,7,3,"

3","

3","

3","

7 (very strongly related). The phrase ""it stands to reason""","

3"
they did nothing but stand around,1,1,5,3,1,"

1 (not at all related)","

1 (not at all related).","

5","

3","

1 - Not at all related"
to stand against great odds,7,7,7,7,7,"

7 (very strongly related)","

7 (very strongly related). To stand against great odds implies a sense","

7 (very strongly related). The phrase ""to stand against great odds","

7 (very strongly related)","

7 (very strongly related)"
a standing ovation,7,3,7,7,5,"

7 (very strongly related)","

3","

7 (very strongly related). A standing ovation is a form of","

7 (very strongly related)","

5"
the boss always stands over me,7,1,7,7,5,"

7 (very strongly related)","

1 (not at all related).","

7 (very strongly related). The phrase ""the boss always stands over","

7 (very strongly related)","

5"
he stands committed,3,3,1,5,3,"

3","

3","

1 (not at all related).","

5","

3"
