Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE,VERTICALITY_Completion_Text,BALANCE_Completion_Text,CENTER-PERIPHERY_Completion_Text,LINKAGE_Completion_Text,RESISTANCE_Completion_Text
be at attention,5,7,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""be at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""be at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""be at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""be at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""be at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
be distinguished in several sports,5,7,5,5,5,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""be distinguished in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""be distinguished in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""be distinguished in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""be distinguished in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""be distinguished in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly"
to hold firm,5,5,5,5,5,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""to hold firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""to hold firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""to hold firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""to hold firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""to hold firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly"
don't allow such treatment,5,5,5,5,5,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""don't allow such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""don't allow such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""don't allow such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""don't allow such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""don't allow such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly"
to pass the test of time,5,7,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""to pass the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""to pass the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""to pass the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""to pass the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""to pass the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
united we are strong,5,7,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""united we are strong"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""united we are strong"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""united we are strong"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""united we are strong"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""united we are strong"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
we are backed up by 30 years experience,5,5,5,5,5,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""we are backed up by 30 years experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""we are backed up by 30 years experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""we are backed up by 30 years experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""we are backed up by 30 years experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""we are backed up by 30 years experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly"
let the issue remain as is,5,7,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""let the issue remain as is"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""let the issue remain as is"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""let the issue remain as is"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""let the issue remain as is"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""let the issue remain as is"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
leave the mixture undisturbed,5,7,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""leave the mixture undisturbed"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""leave the mixture undisturbed"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""leave the mixture undisturbed"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""leave the mixture undisturbed"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""leave the mixture undisturbed"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
have a dale with someone who didn 't show up,5,7,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""have a dale with someone who didn 't show up"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""have a dale with someone who didn 't show up"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""have a dale with someone who didn 't show up"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""have a dale with someone who didn 't show up"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""have a dale with someone who didn 't show up"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
