Stimulus;RESISTANCE;VERTICALITY;BALANCE;CENTER-PERIPHERY;LINKAGE
be at attention;3.40;5.10;4.53;3.30;3.50
be distinguished in several sports;2.20;3.00;4.43;3.73;4.67
to hold firm;5.47;3.67;4.73;3.30;4.00
don't allow such treatment;5.90;2.60;3.03;3.13;4.03
to pass the test of time;4.03;2.40;3.40;2.73;4.20
united we are strong;4.33;3.13;4.93;4.27;5.73
we are backed up by 30 years experience;2.50;2.73;3.00;3.13;5.20
let the issue remain as is;3.37;2.47;2.97;2.47;2.87
leave the mixture undisturbed;2.97;2.43;3.60;2.60;2.33
have a date with someone who didn’t show up;3.93;2.80;2.27;3.87;4.23
he measures six-foot nine;1.60;5.73;2.73;2.30;2.40
the clock is on the mantle;1.17;3.23;3.60;2.77;3.10
one-night fling;2.70;2.03;2.10;3.13;3.43
to be in the position to make a profit;2.03;2.73;3.20;4.27;3.90
to be in someone else's shoes;2.57;2.63;2.10;4.13;4.67
on the witness platform;3.17;3.40;2.60;4.83;4.10
be in aw;2.23;2.47;2.57;3.43;4.37
the police told them to get back;5.43;2.37;2.47;4.23;4.73
support your man;2.53;3.53;3.47;3.83;3.83
the engine can't endure the constant wear;4.60;2.40;2.77;3.23;4.13
to be on shaky ground;4.60;3.47;5.33;3.20;3.77
to be accused;4.80;2.13;2.23;4.47;4.43
the house is in the clearing;1.40;2.53;2.27;4.83;2.80
the barometer is at 30 inches;2.30;5.03;2.70;2.87;3.10
as the matter now exists;2.30;2.40;2.43;2.70;3.70
the part represents the whole;1.87;2.33;3.23;4.47;4.67
it conforms with reason;2.47;1.97;2.57;3.10;3.57
they did nothing but hang around;2.53;2.80;2.43;3.27;2.90
to face great odds;5.70;3.07;3.20;3.97;4.33
a roaring ovation;2.63;4.13;2.73;4.83;5.43
the boss always hovers over me;4.37;3.90;2.70;4.40;3.93
he remains committed;3.56;3.21;2.12;3.01;3.66
